latitude,longitude,serial number,COMUNE
45.6416073,8.8213386,IT*REVETACR2244822S0612*1,Gallarate
45.641538,8.8214513,IT*REVETACR2244822S0609*1,Gallarate
45.652444,8.783744,IT*GES*E69R6D,Gallarate
45.652444,8.783744,IT*GES*EOA45U,Gallarate
45.642922,8.792344,IT*A2A*ESN2000226*1,Gallarate
45.843649,8.712511,IT*BEC*EE002523*1,Gavirate
45.843649,8.712511,IT*BEC*EE002523*2,Gavirate
45.822196,8.74709,IT*PWY*EC0062*01*01,Gavirate
45.822196,8.74709,IT*PWY*EC0062*01*02,Gavirate
45.83925,8.7071,IT*GES*E5UL,Gavirate
45.83925,8.7071,IT*GES*E5V2,Gavirate
45.839736,8.705391,IT*PWY*EC0097*02*01,Gavirate
45.839736,8.705391,IT*PWY*EC0097*01*02,Gavirate
45.839736,8.705391,IT*PWY*EC0097*02*02,Gavirate
45.839736,8.705391,IT*PWY*EC0097*01*01,Gavirate
45.839736,8.705391,IT*PWY*EC0097*03*02,Gavirate
45.839736,8.705391,IT*PWY*EC0097*03*01,Gavirate
45.826172,8.741264,IT*REVEPGT0011*1*1,Gavirate
45.826172,8.741264,IT*REVEPGT0011*1*2,Gavirate
45.769727,8.818366,IT*GES*E5D3,Gazzada Schianno
45.769809,8.818194,IT*GES*E5BP,Gazzada Schianno
45.769719,8.818205,IT*GES*E5D7,Gazzada Schianno
45.769719,8.818205,IT*GES*E5DX,Gazzada Schianno
45.769809,8.818194,IT*GES*E5CX,Gazzada Schianno
45.880011,8.671814,IT*BEC*EE006121*1,Gemonio
45.880007,8.671751,IT*BEC*EE006122*1,Gemonio
45.880011,8.671814,IT*BEC*EE006121*2,Gemonio
45.880007,8.671751,IT*BEC*EE006122*2,Gemonio
45.6374,9.0018,IT*ENX*E21XP22T3KK4AK00164*1,Gerenzano
45.6449,8.9973,IT*ENX*E18XP22T3KK4AH00219*2,Gerenzano
45.6449,8.9973,IT*ENX*E18XP22T3KK4AH00219*1,Gerenzano
45.6374,9.0018,IT*ENX*E21XP22T3KK4AK00164*2,Gerenzano
45.63445,9.01162,IT*PWY*EC0008*02*01,Gerenzano
45.63445,9.01162,IT*PWY*EC0008*01*01,Gerenzano
45.698451,8.658172,IT*BEC*EE006203*2,Golasecca
45.698451,8.658172,IT*BEC*EE006203*1,Golasecca
45.695152,8.659594,IT*REVEGSP00212*1,Golasecca
45.644519,8.900339,IT*ENX*E22XP22T3QQ1AN01067*2,Gorla Minore
45.637377,8.900325,IT*ENX*E19XP22T3KK1AT00089*2,Gorla Minore
45.637377,8.900325,IT*ENX*E19XP22T3KK1AT00089*1,Gorla Minore
45.637706,8.907308,IT*ENX*E18DP22T5HK4U000102*1,Gorla Minore
45.644519,8.900339,IT*ENX*E22XP22T3QQ1AN01067*1,Gorla Minore
45.637706,8.907308,IT*ENX*E18DP22T5HK4U000102*2,Gorla Minore
45.739835,8.859269,IT*ENX*E22XP22T3QQ1AN00364*1,Gornate Olona
45.739835,8.859269,IT*ENX*E22XP22T3QQ1AN00364*2,Gornate Olona
45.736841,8.87371,IT*ENX*E22XP22T3QQ1AN00379*2,Gornate Olona
